2025-11-11 21:08:27 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:08:27 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:08:58 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:08:58 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:08:58 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:09:08 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:09:08 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:09:09 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:09:09 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:09:14 [DEBUG] app_logger, calculator_router.py: Starting Bird model calculation
2025-11-11 21:09:14 [DEBUG] app_logger, calculator_router.py: Bird model outputs: {'julian_date': 2454273.2083333335, 'station_pressure': 997.6326574509542, 'earth_sun_distance': 1.0162566144611185, 'zenith_angle': 16.56588057919042, 'air_mass': 1.0425933103868987, 'corrected_solar_constant': 1323.6151944453154, 'direct_horizontal': 879.8700701583065, 'diffuse_horizontal': 121.7201549335939, 'total_horizontal': 1001.5902250919004}
